file,test results,test results background,test results shared distribution,adj_test,adj_background,adj_dist,result
OG0005080,0.5,3.982341766854414e-4,0.535604152853197,0.5,0.0010316478910667682,1,No evidence of episodic diversifying selection on test branches
OG0005081,0,6.611239333764729e-11,0,0,3.466801121903973e-10,0,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005082,0.5,0.001331586488926118,0.7904983229798217,0.5,0.003213305035081178,1,No evidence of episodic diversifying selection on test branches
OG0005083,0,3.097921363881539e-10,0,0,1.5265936544698794e-9,0,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005084,0,0.06630094708397022,1.381117442633695e-13,0,0.12168041696461017,2.6962896380065017e-12,Selection associated with trait
OG0005088,0.5,0.5,0.1818446220199719,0.5,0.5,0.47192490529015463,No significant signals
OG0005089,5.551115123125783e-17,1.110223024625157e-16,0.3454776310380993,3.0016884521056947e-16,9.799809753004949e-16,0.7830435787193962,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005090,0.3619460465362535,0.5,0.9354283349642556,0.5,0.5,1,No significant signals
OG0005091,0.5,0.02084528372368627,0.9447306352118662,0.5,0.04220670855335496,1,No significant signals
OG0005093,0.5,2.496537338562144e-4,0.9977620057679991,0.5,6.631929405656349e-4,1,No evidence of episodic diversifying selection on test branches
OG0005094,0.5,0.2362038515859409,0.9701458598022692,0.5,0.3763103296281368,1,No significant signals
OG0005095,6.608402158825299e-10,0,0.8148181866576165,2.4078028546741362e-9,0,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005096,0.5,0.5,0.7614848769121836,0.5,0.5,1,No significant signals
OG0005097,0,1.260103132949553e-13,3.581918680284346e-5,0,8.533260903442753e-13,2.3503460348754513e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005098,0.4995201595026667,1.326865649575737e-7,0.9842960053298152,0.5,5.09131095640659e-7,1,No evidence of episodic diversifying selection on test branches
OG0005099,0.5,0.5,1,0.5,0.5,1,No significant signals
OG0005100,0.4997075856632859,0.5,0.8420757217428141,0.5,0.5,1,No significant signals
OG0005101,0,0.5,1.513538228081757e-7,0,0.5,1.416776388878258e-6,Selection associated with trait
OG0005102,2.109423746787797e-15,0.5,0.8941263496085474,1.0418509992681837e-14,0.5,1,Selection associated with trait. No difference between FG-BG dist
OG0005103,0.5,3.26416705886956e-8,0.9933767983246308,0.5,1.346041868043832e-7,1,No evidence of episodic diversifying selection on test branches
OG0005104,0.5,0.5,0.9971912927719526,0.5,0.5,1,No significant signals
OG0005105,0.1832566379910426,0,6.142276159160076e-5,0.4087669938513529,0,3.872090890734512e-4,No evidence of episodic diversifying selection on test branches
OG0005106,0.4867957831220373,1.8519081438928e-4,0.5284778238294474,0.5,5.005406857269346e-4,1,No evidence of episodic diversifying selection on test branches
OG0005107,0,1.530572651509132e-6,3.502353962403504e-11,0,5.243874997344331e-6,5.243247693629287e-10,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005108,0.5,0.5,0.8498578088268542,0.5,0.5,1,No significant signals
OG0005109,0.5,0.5,0.9511782428660722,0.5,0.5,1,No significant signals
OG0005110,0.5,0.001194006419406202,0.8994753874429073,0.5,0.002904756565650564,1,No evidence of episodic diversifying selection on test branches
OG0005111,1.155200864966233e-7,2.428018508471297e-9,0.9675469154677747,3.7545110976855295e-7,1.1053605268607774e-8,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005112,0.5,1.901148113270246e-6,0.9732107670919941,0.5,6.44220165982271e-6,1,No evidence of episodic diversifying selection on test branches
OG0005113,0,0.5,3.305239714146424e-7,0,0.5,2.9384428556124313e-6,Selection associated with trait
OG0005114,0.5,0.5,0.7839669275599064,0.5,0.5,1,No significant signals
OG0005115,0.5,5.831368721231911e-11,0.9951519144071429,0.5,3.076464033818515e-10,1,No evidence of episodic diversifying selection on test branches
OG0005116,0.09233921919962845,0.5,0.7504221109722851,0.2165574545515096,0.5,1,No significant signals
OG0005117,0,1.998192100671758e-8,0.001172688615072914,0,8.387568585289492e-8,0.0057493579838529514,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005118,0.5,0.4973126347980058,1,0.5,0.5,1,No significant signals
OG0005119,0.5,0.1476836168075124,0.9059505198769322,0.5,0.2502681506329458,1,No significant signals
OG0005120,0.5,0.4714833148847051,0.9998431721064582,0.5,0.5,1,No significant signals
OG0005125,0.3830023824937244,0,3.434062594287468e-5,0.5,0,2.260171189619117e-4,No evidence of episodic diversifying selection on test branches
OG0005128,0.06619385190732208,3.770379009004898e-10,1,0.15867486403005193,1.8401827280436065e-9,1,No evidence of episodic diversifying selection on test branches
OG0005129,0.5,0.007711834954843511,0.9629769371617415,0.5,0.016703194749771003,1,No significant signals
OG0005130,0.5,0.5,0.9368045916830835,0.5,0.5,1,No significant signals
OG0005131,0.5,0.01478182654424542,0.2062799148723291,0.5,0.030778014048887654,0.5232154555517081,No significant signals
OG0005132,0.5,0.5,1,0.5,0.5,1,No significant signals
OG0005133,0.5,0.5,0.92903953291059,0.5,0.5,1,No significant signals
OG0005134,0,1.262857262096517e-7,6.345562801879367e-6,0,4.856453747938159e-7,4.653412721378202e-5,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005135,0.5,0.002075927999579452,0.6303605590697449,0.5,0.004881753635473329,1,No evidence of episodic diversifying selection on test branches
OG0005136,0,0.005738644377053792,1.164958495268875e-4,0,0.01267326610453561,6.9929780034561e-4,Selection associated with trait
OG0005137,0.5,6.315833616203914e-4,0.9999066862141717,0.5,0.0015932958610377047,1,No evidence of episodic diversifying selection on test branches
OG0005138,0.5,9.434583289613663e-7,0.756020480717892,0.5,3.310889390865232e-6,1,No evidence of episodic diversifying selection on test branches
