orthogroup,symbol,test results,test results background,test results shared distribution,adj_test,adj_background,adj_dist,result
OG0005292,LIN28B,0.2568606293298488,0,0.04612906096358205,0.5,0,0.14878900245204585,No evidence of episodic diversifying selection on test branches
OG0005293,BVES,1.942890293094024e-15,0,2.619036248119322e-5,9.607870055106104e-15,0,1.7502038371602015e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005294,PREP,0.5,0.006450278888825101,0.245844971226712,0.5,0.014131826203517068,0.6004917812576815,No significant signals
OG0005295,PRDM1,0.5,0.5,0.9748144602916335,0.5,0.5,1,No significant signals
OG0005296,ATG5,0.5,0.5,0.7186355238495219,0.5,0.5,1,No significant signals
OG0005297,CRYBG1,3.056299657799855e-10,6.646802068432933e-5,0.02742839640130912,1.1307916733048289e-9,1.899023608458851e-4,0.0939688608301382,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005298,RTN4IP1,0.5,1.110223024625157e-16,0.5858714211260768,0.5,9.734417482377009e-16,1,No evidence of episodic diversifying selection on test branches
OG0005299,QRSL1,0.5,0.1632563727969688,0.9814854862844332,0.5,0.27300212245195693,1,No significant signals
OG0005300,MTRES1 CUNH6ORF203,0.5,0.5,0.7736517781376979,0.5,0.5,1,No significant signals
OG0005301,PDSS2,0.5,0.00449251569602388,0.9735835644998359,0.5,0.01007991465734785,1,No significant signals
OG0005302,SOBP,0.5,0.5,0.7489701095736148,0.5,0.5,1,No significant signals
OG0005303,SCML4,0.5,0.5,0.24356614711042,0.5,0.5,0.595598032521496,No significant signals
OG0005304,SEC63,0.5,0.5,0.9818000631272108,0.5,0.5,1,No significant signals
OG0005305,OSTM1,7.035036549513096e-5,1.637814023291995e-8,0.5102417695121346,1.976020976938862e-4,6.920723905062951e-8,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005306,NR2E1,0.5,0.5,0.16364586001121811,0.5,0.5,0.43176563187106143,No significant signals
OG0005307,SNX3,0.5,0.5,0.7413430766673976,0.5,0.5,1,No significant signals
OG0005308,AFG1L,0.5,6.900036700400736e-4,0.8894007804972371,0.5,0.0017353361698711992,1,No evidence of episodic diversifying selection on test branches
OG0005309,FOXO3,0,0.003099784525398386,0.1070261948280365,0,0.007119303419001495,0.3046685364171381,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005310,SESN1,0,0.5,0,0,0.5,0,Selection associated with trait
OG0005311,CEP57L1,4.04121180963557e-14,0.05448819084277917,1.415416486516552e-5,1.8484485729696733e-13,0.10193272882693709,9.918230181630963e-5,Selection associated with trait
OG0005312,PPIL6,0.5,0.03251841718557036,1,0.5,0.06352469126950923,1,No significant signals
OG0005313,ZBTB24,0.5,5.648172708427879e-5,0.9555671835337669,0.5,1.627140033912612e-4,1,No evidence of episodic diversifying selection on test branches
OG0005314,FIG4,0,0.5,0,0,0.5,0,Selection associated with trait
OG0005315,GPR6,0.5,0.5,0.9850233565741764,0.5,0.5,1,No significant signals
OG0005316,WASF1,0.5,0,0.0299384890036033,0.5,0,0.10160301326948351,No evidence of episodic diversifying selection on test branches
OG0005317,CDC40,0.5,1.168122841788133e-7,0.1107667519256479,0.5,4.506881441299377e-7,0.31336236389818795,No evidence of episodic diversifying selection on test branches
OG0005318,DDO,0.5,2.548049541029052e-6,0.7768446528148467,0.5,8.517118859816691e-6,1,No evidence of episodic diversifying selection on test branches
OG0005319,SLC22A16,0.5,4.181717666473794e-6,0.9862847314349465,0.5,1.3661224871900421e-5,1,No evidence of episodic diversifying selection on test branches
OG0005320,CDK19,0,0,3.514058747233761e-5,0,0,2.3055848672146298e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005321,AMD1,0.5,0.5,0.9997537649674179,0.5,0.5,1,No significant signals
OG0005322,SLC16A10,1.362995494734176e-4,2.225991021062024e-4,0.03834012419134991,3.769140431279428e-4,5.980666344697534e-4,0.12587080225794467,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005323,MFSD4B,0.5,0.1795900441304296,0.9856485270772186,0.5,0.29665436951798774,1,No significant signals
OG0005324,REV3L,0.5,0.4655552999463737,1,0.5,0.5,1,No significant signals
OG0005325,TRAF3IP2,9.532716048806233e-4,0.005795488098489954,0.5787001992295602,0.0025328868494433267,0.012797691759206956,1,Selection associated with trait. No difference between FG-BG dist
OG0005326,TUBE1,0,0.5,8.332038701985844e-6,0,0.5,6.033929952048995e-5,Selection associated with trait
OG0005327,LAMA4,0,6.160648657882462e-10,0.5275614925459878,0,2.9422877199401117e-9,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005328,B4GALT5,0.5,0.2309755839742056,0.9991850441807326,0.5,0.3689299933024687,1,No significant signals
OG0005329,PTGIS,0.172212775580792,0.03677955282621848,1,0.3840065343664453,0.07122180580847946,1,No significant signals
OG0005330,KCNB1,0.5,2.749922362044188e-7,0.9493622784718857,0.5,1.0275259131813097e-6,1,No evidence of episodic diversifying selection on test branches
OG0005331,NA,0.02384336508025714,0.5,0.3651178415653499,0.05934440074907831,0.5,0.8147833421625935,No significant signals
OG0005332,STAU1,0.5,0.04735072613285018,0.914866167280711,0.5,0.08968552942737698,1,No significant signals
OG0005333,CSE1L,0.5,0.149659591048909,0.931424226749223,0.5,0.25261441407007185,1,No significant signals
OG0005334,ARFGEF2,0,0.5,4.934182035549739e-4,0,0.5,0.0026342018097253203,Selection associated with trait
