orthogroup,symbol,test results,test results background,test results shared distribution,adj_test,adj_background,adj_dist,result
OG0005292,LIN28B,0,0.3027194005511504,0.05068334016739939,0,0.5,0.15856913945030443,Selection associated with trait. No difference between FG-BG dist
OG0005293,BVES,0,3.064215547965432e-14,0.005828311807259512,0,1.4203385834007953e-13,0.023448726350545707,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005294,PREP,0.006451653515798517,0.5,0.2462297900895877,0.013874902963648201,0.5,0.5896161049903962,No significant signals
OG0005295,PRDM1,0.5,0.5,0.9759878293732933,0.5,0.5,1,No significant signals
OG0005296,ATG5,0.5,0.5,0.7200017370129719,0.5,0.5,1,No significant signals
OG0005297,CRYBG1,6.660065910640833e-5,2.059044601487869e-10,2.58070848668801e-6,1.865853363246545e-4,7.750749013169213e-10,1.9922793259409487e-5,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005298,RTN4IP1,1.110223024625157e-16,0.5,0.5799835424048753,9.579132657134705e-16,0.5,1,Selection associated with trait. No difference between FG-BG dist
OG0005299,QRSL1,0.1627995825924665,0.5,0.9814007347679052,0.26432787762761817,0.5,1,No significant signals
OG0005300,MTRES1 CUNH6ORF203,0.5,0.4911009908130707,0.7682424244558188,0.5,0.5,1,No significant signals
OG0005301,PDSS2,9.687069824578232e-4,0.5,0.9656855888094604,0.002342982176129123,0.5,1,Selection associated with trait. No difference between FG-BG dist
OG0005302,SOBP,0.5,0.5,0.7487577893371945,0.5,0.5,1,No significant signals
OG0005303,SCML4,0.5,0.5,0.2482047680754326,0.5,0.5,0.5938523812343913,No significant signals
OG0005304,SEC63,0.2275140729556581,0.5,0.9608087990904783,0.35171611063920416,0.5,1,No significant signals
OG0005305,OSTM1,1.33236217059185e-8,5.563486214388291e-5,0.1046947117190532,5.586367356735402e-8,1.579088543762423e-4,0.2920556396077583,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005306,NR2E1,0.5,0.5,0.1643791673369192,0.5,0.5,0.42413157845369676,No significant signals
OG0005307,SNX3,0.5,0.5,0.7430781922248393,0.5,0.5,1,No significant signals
OG0005308,AFG1L,6.795317008887469e-4,0.5,0.8862406900343365,0.0016777938201116163,0.5,1,Selection associated with trait. No difference between FG-BG dist
OG0005309,FOXO3,0.003273231976487379,0,0.1387161001463969,0.007348002470693068,0,0.36880157624175697,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005310,SESN1,0.5,0,0,0.5,0,0,No evidence of episodic diversifying selection on test branches
OG0005311,CEP57L1,0.0546931814771886,4.04121180963557e-14,1.482569369737341e-5,0.09977124631188664,1.8632204049326702e-13,1.0198851610259896e-4,No evidence of episodic diversifying selection on test branches
OG0005312,PPIL6,0.03206201265916442,0.5,0.9162102850280833,0.061155974774610725,0.5,1,No significant signals
OG0005313,ZBTB24,5.646491380678631e-5,0.5,0.9539083533634416,1.594802102101595e-4,0.5,1,Selection associated with trait. No difference between FG-BG dist
OG0005314,FIG4,0.5,0,0,0.5,0,0,No evidence of episodic diversifying selection on test branches
OG0005315,GPR6,0.5,0.5,0.9850208086474898,0.5,0.5,1,No significant signals
OG0005316,WASF1,0,0.5,0.0297934522015364,0,0.5,0.09893804119420416,Selection associated with trait. No difference between FG-BG dist
OG0005317,CDC40,9.622601510050899e-8,0.5,0.09729160189754837,3.6798052791860575e-7,0.5,0.2736306541505959,Selection associated with trait. No difference between FG-BG dist
